,Genome ID,Organism code,Organism name,Assembly
23,T00590,ecw,Escherichia coli O139:H28 E24377A (ETEC),GCA_000017745.1
24,T02001,eun,"Escherichia coli UMNK88 (ETEC, porcine)",GCA_000212715.2
25,T00373,ecp,Escherichia coli O6:K15:H31 536 (UPEC),GCA_000013305.1
26,T01998,ena,Escherichia coli NA114 (UPEC),GCA_000214765.3
27,T04373,ecos,Escherichia coli O25b:K100:H4-ST131 EC958 (UPEC),GCA_000285655.3
28,T00425,ecv,Escherichia coli APEC O1 (APEC),GCA_000014845.1
29,T02445,ecoa,Escherichia coli APEC O78 (APEC),GCA_000332755.1
30,T00591,ecx,Escherichia coli O9 HS (commensal),GCA_000017765.1
31,T00672,ecm,Escherichia coli SMS-3-5 (environmental),GCA_000019645.1
32,T00784,ecy,Escherichia coli O152:H28 SE11 (commensal),GCA_000010385.1
33,T00828,ecr,Escherichia coli O8 IAI1 (commensal),GCA_000026265.1
34,T00827,ecq,Escherichia coli O81 ED1a (commensal),GCA_000026305.1
35,T00831,eum,Escherichia coli O17:K52:H18 UMN026 (ExPEC),GCA_000026325.2
36,T00829,ect,Escherichia coli O7:K1 IAI39 (ExPEC),GCA_000026345.1
37,T01999,eoc,Escherichia coli O7:K1 CE10,GCA_000227625.1
38,T00944,ebr,Escherichia coli B REL606,GCA_000017985.1
39,T00931,ebl,Escherichia coli BL21(DE3),GCA_000022665.2
40,T02096,ebe,Escherichia coli BL21(DE3),GCA_000009565.2
41,T00939,ebd,Escherichia coli BL21-Gold(DE3)pLysS AG,GCA_000023665.1
42,T00338,eci,Escherichia coli O18:K1:H7 UTI89 (UPEC),GCA_000013265.1
43,T01997,eih,Escherichia coli O18:K1:H7 IHE3034 (ExPEC),GCA_000025745.1
44,T00830,ecz,Escherichia coli O45:K1:H7 S88 (ExPEC),GCA_000026285.2
45,T00106,ecc,Escherichia coli O6:K2:H1 CFT073 (UPEC),GCA_000007445.1
46,T02067,elo,Escherichia coli O44:H18 042 (EAEC),GCA_000027125.1
47,T02068,eln,Escherichia coli O83:H1 NRG 857C (AIEC),GCA_000183345.1
48,T02077,ese,Escherichia coli O150:H5 SE15 (commensal),GCA_000010485.1
49,T00697,ecl,Escherichia coli ATCC 8739,GCA_000019385.1
50,T01718,eko,Escherichia coli KO11FL,GCA_000147855.3
51,T02104,ekf,Escherichia coli KO11FL,GCA_000258025.1
52,T01995,eab,Escherichia coli ABU 83972,GCA_000148365.1
53,T01996,edh,Escherichia coli DH1,GCA_000023365.1
54,T02102,edj,Escherichia coli DH1,GCA_000270105.1
55,T02000,elu,Escherichia coli UM146,GCA_000148605.1
56,T02002,elw,Escherichia coli W,GCA_000184185.1
57,T02101,ell,Escherichia coli W,GCA_000258145.1
58,T02003,elc,Escherichia coli clone D i14,GCA_000233895.1
59,T02004,eld,Escherichia coli clone D i2,GCA_000233875.1
60,T02030,elp,Escherichia coli P12b,GCA_000257275.1
61,T00854,elf,Escherichia coli LF82,GCA_000284495.1
62,T02846,ecol,Escherichia coli LY180,GCA_000468515.1
63,T02847,ecoi,Escherichia coli O18:K1 PMV-1 (ExPEC),GCA_000493595.1
64,T02896,ecoj,Escherichia coli JJ1886,GCA_000493755.1
65,T00811,efe,Escherichia fergusonii,GCA_000026225.1
66,T03986,eal,Escherichia albertii,GCA_000512125.1
67,T05353,ema,Escherichia marmotae,GCA_002900365.1
68,T06276,esz,Escherichia sp. E4742,GCA_005843885.1
69,T00064,sty,Salmonella enterica subsp. enterica serovar Typhi CT18,GCF_000195995.1
70,T00121,stt,Salmonella enterica subsp. enterica serovar Typhi Ty2,GCA_000007545.1
71,T01741,sex,Salmonella enterica subsp. enterica serovar Typhi P-stx-12,GCA_000245535.1
72,T02648,sent,Salmonella enterica subsp. enterica serovar Typhi Ty21a,GCA_000385905.1
73,T00065,stm,Salmonella enterica subsp. enterica serovar Typhimurium LT2,GCF_000006945.2
74,T01714,seo,Salmonella enterica subsp. enterica serovar Typhimurium 14028S,GCA_000022165.1
75,T01715,sev,Salmonella enterica subsp. enterica serovar Typhimurium D23580,GCA_000027025.1
76,T01724,sey,Salmonella enterica subsp. enterica serovar Typhimurium SL1344,GCA_000210855.2
77,T01742,sem,Salmonella enterica subsp. enterica serovar Typhimurium T000240,GCA_000283735.1
78,T01743,sej,Salmonella enterica subsp. enterica serovar Typhimurium UK-1,GCA_000213635.1
79,T01760,seb,Salmonella enterica subsp. enterica serovar Typhimurium ST4/74,GCA_000188735.1
80,T01782,sef,Salmonella enterica subsp. enterica serovar Typhimurium 798,GCA_000252875.1
81,T02639,setu,Salmonella enterica subsp. enterica serovar Typhimurium U288,GCA_000380325.1
82,T02737,setc,Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921,GCA_000430145.3
83,T02869,senr,Salmonella enterica subsp. enterica serovar Typhimurium DT2,GCA_000493535.2
84,T02874,send,Salmonella enterica subsp. enterica serovar Typhimurium DT104,GCA_000493675.1
85,T03493,seni,Salmonella enterica subsp. enterica serovar Typhimurium 138736,GCA_000636135.1
86,T02738,seen,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. 08-1736",GCA_000430165.1
87,T00219,spt,Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150,GCA_000011885.1
88,T00756,sek,Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601,GCA_000026565.1
89,T00628,spq,Salmonella enterica subsp. enterica serovar Paratyphi B,GCA_000018705.1
90,T00862,sei,Salmonella enterica subsp. enterica serovar Paratyphi C,GCA_000018385.1
91,T00240,sec,Salmonella enterica subsp. enterica serovar Choleraesuis,GCA_000008105.1
92,T00738,seh,Salmonella enterica subsp. enterica serovar Heidelberg SL476,GCA_000020705.1
93,T02011,shb,Salmonella enterica subsp. enterica serovar Heidelberg B182,GCA_000258365.1
94,T02735,senh,Salmonella enterica subsp. enterica serovar Heidelberg CFSAN002069,GCA_000430085.2
95,T02736,seeh,Salmonella enterica subsp. enterica serovar Heidelberg 41578,GCA_000430105.1
96,T00739,see,Salmonella enterica subsp. enterica serovar Newport SL254,GCA_000016045.1
97,T02779,senn,Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1,GCA_000442415.1
98,T00743,sew,Salmonella enterica subsp. enterica serovar Schwarzengrund,GCA_000020745.1
99,T00751,sea,Salmonella enterica subsp. enterica serovar Agona SL483,GCA_000020885.1
100,T02944,sens,Salmonella enterica subsp. enterica serovar Agona 24249,GCA_000503845.1
101,T00757,sed,Salmonella enterica subsp. enterica serovar Dublin,GCA_000020925.1
102,T00770,seg,Salmonella enterica subsp. enterica serovar Gallinarum 287/91,GCA_000009525.1
103,T01740,sel,Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078,GCA_000235545.1
104,T02824,sega,Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67,GCA_000462995.1
105,T00776,set,Salmonella enterica subsp. enterica serovar Enteritidis P125109,GCA_000009505.1
106,T03731,sena,Salmonella enterica subsp. enterica serovar Enteritidis EC20090135,GCA_000623755.2
107,T03732,seno,Salmonella enterica subsp. enterica serovar Enteritidis EC20090193,GCA_000623775.2
108,T03760,senv,Salmonella enterica subsp. enterica serovar Enteritidis EC20090332,GCA_000623795.2
109,T03761,senq,Salmonella enterica subsp. enterica serovar Enteritidis EC20090531,GCA_000626155.2
110,T03817,senl,Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1,GCA_000750475.1
111,T02479,senj,Salmonella enterica subsp. enterica serovar Javiana,GCA_000341425.1
112,T02734,seec,Salmonella enterica subsp. enterica serovar Cubana,GCA_000430125.1
113,T02739,seeb,Salmonella enterica subsp. enterica serovar Bareilly,GCA_000439415.1
114,T02790,seep,Salmonella enterica subsp. enterica serovar Pullorum,GCA_000444445.1
115,T02827,senb,Salmonella enterica subsp. enterica serovar Bovismorbificans,GCA_000499465.2
116,T02868,sene,Salmonella enterica subsp. enterica serovar Thompson,GCA_000473275.1
117,T03730,senc,Salmonella enterica subsp. enterica serovar Tennessee,GCA_000486405.2
118,T00627,ses,Salmonella enterica subsp. arizonae,GCA_000018625.1
119,T01579,sbg,Salmonella bongori NCTC 12419,GCA_000252995.1
120,T02733,sbz,Salmonella bongori N268-08,GCA_000439255.1
121,T03249,sbv,Salmonella bongori serovar 48:z41:--,GCA_000709535.1
122,T06160,salz,Salmonella sp. SSDFZ69,GCA_004010755.1
123,T00097,sfl,Shigella flexneri 301 (serotype 2a),GCF_000006925.2
124,T00128,sfx,Shigella flexneri 2457T (serotype 2a),GCA_000007405.1
125,T00377,sfv,Shigella flexneri 8401 (serotype 5b),GCA_000013585.1
126,T01883,sfe,Shigella flexneri 2002017 (serotype Fxv),GCA_000022245.1
127,T03267,sfn,Shigella flexneri 2003036,GCA_000743955.1
128,T03315,sfs,Shigella flexneri Shi06HN006 (serotype Yv),GCA_000743995.1
129,T03751,sft,Shigella flexneri NCTC1 (serotype 2a),GCA_000953035.1
130,T00274,ssn,Shigella sonnei Ss046,GCA_000092525.1
131,T00301,sbo,Shigella boydii Sb227 (serotype 4),GCA_000012025.1
132,T00700,sbc,Shigella boydii CDC 3083-94 (serotype 18),GCA_000020185.1
133,T00306,sdy,Shigella dysenteriae Sd197,GCA_000012005.1
134,T02933,sdz,Shigella dysenteriae 1617 (serotype 1),GCA_000497505.1
135,T04390,shq,Shigella sp. PAMC 28760,GCA_001596115.1
136,T01231,enc,Enterobacter cloacae subsp. cloacae ATCC 13047,GCA_000025565.1
137,T02159,enl,Enterobacter cloacae subsp. dissolvens SDM,GCA_000235765.3
138,T03429,eclg,Enterobacter cloacae GGT036,GCA_000770155.1
139,T03471,ecle,Enterobacter cloacae ECNIH2,GCA_000724505.1
140,T03486,ecln,Enterobacter cloacae ECNIH4,GCA_000784865.1
141,T03706,ecli,Enterobacter cloacae ECNIH5,GCA_000784905.1
142,T03707,eclx,Enterobacter hormaechei subsp. xiangfangensis,GCA_000814225.1
143,T03708,ecly,Enterobacter hormaechei subsp. steigerwaltii,GCA_000814125.3
144,T03709,eclz,Enterobacter hormaechei subsp. hormaechei,GCA_000814205.1
145,T02615,eclo,Enterobacter hormaechei NCTC 9394,GCA_000210775.1
146,T04593,ehm,Enterobacter hormaechei CAV1176,GCA_001874505.1
147,T04821,exf,Enterobacter hormaechei subsp. xiangfangensis,GCA_001729785.1
148,T03350,ecla,Enterobacter hormaechei subsp. hoffmannii ECNIH3,GCA_000750225.1
149,T03378,eclc,Enterobacter hormaechei subsp. hoffmannii ECR091,GCA_000750275.1
150,T03084,eau,Enterobacter asburiae L1,GCA_000632395.1
151,T04686,ekb,Enterobacter kobei DSM 13645,GCA_001729765.1
152,T02315,eno,Enterobacter kobei ENHKU01,GCA_000286275.1
153,T01652,eec,Enterobacter ludwigii EcWSU1,GCA_000239975.1
154,T04719,elg,Enterobacter ludwigii EN-119,GCA_001750725.1
155,T05545,ecan,Enterobacter cancerogenus,GCA_002850575.1
156,T05556,ern,Enterobacter roggenkampii DSM 16690,GCA_001729805.1
157,T04878,ecls,Enterobacter roggenkampii 35734,GCA_000807415.4
158,T06229,echg,Enterobacter chengduensis,GCA_001984825.2
159,T06532,esh,Enterobacter sichuanensis,GCA_009036245.1
160,T00507,ent,Enterobacter sp. 638,GCA_000016325.1
161,T01604,eas,Enterobacter soli,GCA_000224675.1
162,T02700,enr,Enterobacter sp. R4-368,GCA_000410515.1
163,T04118,enx,Enterobacter sp. E20,GCA_000801755.2
164,T04405,enf,Enterobacter sp. FY-07,GCA_001582075.1
165,T05333,lni,Enterobacter sp. SGAir0187,GCA_002952735.2
166,T05993,ebg,Enterobacter bugandensis,GCA_004804395.1
167,T06363,end,Enterobacter sp. ODB01,GCA_001623605.1
168,T00586,esa,Cronobacter sakazakii ATCC BAA-894,GCA_000017665.1
169,T02119,csk,Cronobacter sakazakii ES15,GCA_000263215.1
170,T02461,csz,Cronobacter sakazakii Sp291,GCA_000339015.1
171,T03903,csj,Cronobacter sakazakii ATCC 29544,GCA_000982825.1
172,T04060,ccon,Cronobacter condimenti,GCA_001277255.1
173,T04061,cdm,Cronobacter dublinensis,GCA_001277235.1
174,T02955,csi,Cronobacter malonaticus CMCC45402,GCA_000504545.1
175,T04062,cmj,Cronobacter malonaticus LMG 23826,GCA_001277215.2
176,T04063,cui,Cronobacter universalis,GCA_001277175.1
177,T04067,cmw,Cronobacter muytjensii,GCA_001277195.1
178,T00999,ctu,Cronobacter turicensis,GCA_000027065.2
179,T00566,kpn,Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (serotype K52),GCA_000016305.1
180,T00910,kpu,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 (serotype K1),GCA_000009885.1
181,T01733,kpm,Klebsiella pneumoniae subsp. pneumoniae HS11286,GCF_000240185.1
182,T02213,kpp,Klebsiella pneumoniae subsp. pneumoniae 1084 (serotype K1),GCA_000294365.1
183,T03369,kph,Klebsiella pneumoniae subsp. pneumoniae KPNIH24,GCA_000714675.1
184,T03370,kpz,Klebsiella pneumoniae subsp. pneumoniae KPNIH27,GCA_000695935.1
185,T03465,kpv,Klebsiella pneumoniae subsp. pneumoniae KPNIH29,GCA_000784945.1
186,T03466,kpw,Klebsiella pneumoniae subsp. pneumoniae KPNIH30,GCA_000784985.1
187,T03467,kpy,Klebsiella pneumoniae subsp. pneumoniae KPNIH31,GCA_000785005.1
188,T03468,kpg,Klebsiella pneumoniae subsp. pneumoniae KPNIH32,GCA_000775395.1
189,T03788,kpc,Klebsiella pneumoniae subsp. pneumoniae KPNIH10,GCA_000281435.2
190,T03371,kpq,Klebsiella pneumoniae subsp. pneumoniae KPR0928,GCA_000717515.1
191,T03418,kpt,Klebsiella pneumoniae subsp. pneumoniae ATCC 43816 KPPR1,GCA_000742755.1
192,T01982,kpo,Klebsiella pneumoniae KCTC 2242,GCA_000220485.1
193,T02793,kpr,Klebsiella pneumoniae subsp. rhinoscleromatis SB3432,GCA_000967845.1
194,T02799,kpj,Klebsiella pneumoniae JM45,GCA_000445405.1
195,T02866,kpi,Klebsiella pneumoniae CG43,GCA_000474015.1
196,T03176,kpa,Klebsiella pneumoniae 30660/NJST258_1,GCA_000598005.1
197,T03177,kps,Klebsiella pneumoniae 30684/NJST258_2,GCA_000597905.1
198,T03419,kpx,Klebsiella pneumoniae PMK1,GCA_000764615.1
199,T03440,kpb,Klebsiella pneumoniae blaNDM-1,GCA_000739495.1
200,T03746,kpne,Klebsiella pneumoniae 32192,GCA_000807395.3
201,T03747,kpnu,Klebsiella pneumoniae 34618,GCA_000814305.1
202,T05281,kpnk,Klebsiella pneumoniae Kp52.145,GCA_000968155.1
203,T01170,kva,Klebsiella variicola At-22,GCA_000025465.1
204,T00772,kpe,Klebsiella variicola 342,GCA_000019565.1
205,T03368,kpk,Klebsiella variicola KP5-1,GCA_000714635.1
206,T03531,kvd,Klebsiella variicola DX120E,GCA_000812205.2
207,T03641,kvq,Klebsiella variicola DSM 15968,GCA_000828055.2
208,T01681,kox,Klebsiella michiganensis KCTC 1686,GCA_000240325.1
209,T02173,koe,Klebsiella michiganensis E718,GCA_000276705.2
210,T03188,koy,Klebsiella michiganensis HKOPL1,GCA_000632415.1
211,T03349,kom,Klebsiella michiganensis M1,GCA_000724525.1
212,T03782,kmi,Klebsiella michiganensis RC10,GCA_000963575.1
213,T03269,kok,Klebsiella oxytoca KONIH1,GCA_000714655.1
214,T04534,koc,Klebsiella oxytoca CAV1374,GCA_001022195.1
215,T04389,kqu,Klebsiella quasipneumoniae,GCA_001596075.2
216,T01529,eae,Klebsiella aerogenes KCTC 2190,GCA_000215745.1
217,T02447,ear,Klebsiella aerogenes EA1509E,GCA_000334515.1
218,T05116,kqv,Klebsiella quasivariicola,GCA_002269255.1
219,T05751,kll,Klebsiella sp. LTGPAF-6F,GCA_001753185.1
220,T05915,klw,Klebsiella huaxiensis,GCA_003261575.2
221,T07696,kar,Klebsiella africana,GCA_020526085.1
222,T02625,ror,Raoultella ornithinolytica B6,GCA_000367425.1
223,T03629,ron,Raoultella ornithinolytica S12,GCA_000829965.1
224,T05298,rpln,Raoultella planticola,GCA_002906195.1
225,T05540,rao,Raoultella sp. X13,GCA_003323835.1
226,T06046,rtg,Raoultella terrigena,GCA_900631595.1
227,T06174,ree,Raoultella electrica,GCA_006711645.1
228,T01145,cro,Citrobacter rodentium,GCA_000027085.1
229,T00592,cko,Citrobacter koseri,GCA_000018045.1
230,T03077,cfd,Citrobacter freundii,GCA_000648515.1
231,T04825,cbra,Citrobacter braakii,GCA_002073755.2
232,T05129,cwe,Citrobacter werkmanii,GCA_002386385.1
233,T05526,cyo,Citrobacter youngae,GCA_003255895.1
234,T06238,cpot,Citrobacter portucalensis,GCA_008693605.1
235,T06381,cfq,Citrobacter freundii complex sp. CFNIH3,GCA_002903215.1
236,T07832,csed,Citrobacter sedlakii,GCA_018128425.1
237,T03934,cama,Citrobacter amalonaticus Y19,GCA_000981805.1
238,T04738,caf,Citrobacter amalonaticus FDAARGOS_165,GCA_001558935.2
239,T04313,cif,Citrobacter sp. FDAARGOS_156,GCA_001559235.2
240,T05012,cfar,Citrobacter farmeri,GCA_002249995.1
241,T05324,cir,Citrobacter sp. CFNIH10,GCA_002934585.1
242,T05520,cie,Citrobacter sp. CRE-46,GCA_003204265.1
243,T05874,cpar,Citrobacter pasteurii,GCA_003665575.1
244,T07059,ctel,Citrobacter telavivensis,GCA_009363175.1
245,T07250,citz,Citrobacter tructae,GCA_004684345.1
246,T07503,cars,Citrobacter arsenatis,GCA_004353845.1
247,T00138,bfl,Candidatus Blochmannia floridanus,GCA_000043285.1
248,T00272,bpn,Candidatus Blochmannia pennsylvanicus,GCA_000011745.1
249,T01398,bva,Candidatus Blochmannia vafer,GCA_000185985.2
250,T02430,bchr,Candidatus Blochmannia chromaiodes,GCA_000331065.1
251,T03906,ben,Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus 757,GCA_000973545.1
252,T03907,bed,Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri 675,GCA_000973505.1
253,T07558,bec,Blochmannia endosymbiont of Colobopsis nipponica,GCA_014857065.1
254,T00911,hde,Candidatus Hamiltonella defensa (Acyrthosiphon pisum),GCA_000021705.1
255,T02199,sect,Secondary endosymbiont of Ctenarytaina eucalypti,GCA_000287335.1
256,T02336,sehc,Secondary endosymbiont of Heteropsylla cubana,GCA_000287355.1
257,T04494,senm,Secondary endosymbiont of Trabutina mannipara,GCA_900090215.1
258,T01218,rip,Candidatus Riesia pediculicola,GCA_000093065.1
259,T04782,rig,Candidatus Riesia sp. GBBU,GCA_002074035.1
260,T01562,men,Candidatus Moranella endobia PCIT,GCA_000219175.1
261,T02613,meo,Candidatus Moranella endobia PCVAL,GCA_000364725.1
262,T02111,ebt,Shimwellia blattae,GCA_000262305.1
263,T03298,cnt,Cedecea neteri SSMD04,GCA_000757825.1
264,T03328,cem,Cedecea neteri M006,GCA_000758305.1
265,T03337,cen,Cedecea neteri ND14a,GCA_000758325.1
266,T05810,clap,Cedecea lapagei,GCA_900635955.1
267,T03300,pge,Pluralibacter gergoviae,GCA_000757785.1
268,T01342,esc,Enterobacter lignolyticus SCF1,GCA_000164865.1
269,T04198,kle,Enterobacter lignolyticus G5,GCA_001461805.1
270,T03601,ksa,Kosakonia sacchari,GCA_000300455.4
271,T04433,kor,Kosakonia oryzae,GCA_001658025.2
272,T04579,krd,Kosakonia radicincitans,GCA_001887675.1
273,T04691,kco,Kosakonia cowanii,GCA_001975225.1
274,T05734,kot,Kosakonia sp. CCTCC M2018092,GCA_003864115.1
275,T06897,kpse,Kosakonia pseudosacchari,GCA_015167415.1
276,T04930,kgo,Kluyvera genomosp. 3,GCA_002211745.1
277,T06042,kie,Kluyvera intermedia,GCA_900635475.1
278,T06881,kas,Kluyvera ascorbata,GCA_015099135.1
279,T04149,icp,Candidatus Ishikawaella capsulata,GCA_000828515.1
280,T04232,lax,Leclercia adecarboxylata,GCA_001518835.1
281,T05297,lei,Leclercia sp. LSNIH1,GCA_002902985.1
282,T05316,leh,Leclercia sp. LSNIH3,GCA_002935105.1
283,T05987,lee,Leclercia sp. W17,GCA_003336325.1
284,T06321,ler,Leclercia sp. Colony189,GCA_009740165.1
285,T06440,lea,Leclercia sp. J807,GCA_009734465.1
286,T04400,laz,Lelliottia amnigena,GCA_001652505.2
287,T05035,lef,Lelliottia jeotgali,GCA_002271215.1
288,T05398,lew,Lelliottia sp. WB101,GCA_003051885.1
289,T05676,buf,Buttiauxella sp. 3AFRM03,GCA_003675305.1
290,T06676,bage,Buttiauxella agrestis,GCA_013234275.1
291,T03624,sbw,Candidatus Tachikawaea gelatinosa,GCA_000828815.1
292,T04480,den,Candidatus Doolittlea endobia,GCA_900039485.1
293,T04484,hed,Candidatus Hoaglandella endobia,GCA_900044015.1
294,T04502,ged,Candidatus Gullanella endobia,GCA_900048035.1
295,T04510,cmik,Candidatus Mikella endobia,GCA_900048045.1
296,T05580,ppet,Candidatus Purcelliella pentastirinorum,GCA_003391335.1
297,T07463,sym,Candidatus Symbiopectobacterium sp. SyEd1,GCA_019797845.1
298,T07601,apin,Candidatus Annandia pinicola,GCA_020541245.1
299,T05735,mety,Metakosakonia sp. MRY16-398,GCA_003925915.1
300,T05790,ahn,Atlantibacter hermannii,GCA_900635495.1
301,T06519,yre,Yokenella regensburgei,GCA_012109195.1
302,T06630,sgoe,Scandinavium goeteborgense,GCA_003935895.2
303,T03950,kin,Phytobacter ursingii,GCA_001022135.1
304,T06586,pdz,Phytobacter diazotrophicus,GCA_012923785.1
305,T05975,izh,Jejubacter calystegiae,GCA_005671395.1
306,T07286,ptf,Candidatus Profftia tarda,GCA_904848675.1
307,T07821,plar,Candidatus Profftia lariciata,GCA_020541265.1
308,T07486,sny,Candidatus Schneideria nysicola,GCA_019923545.1
309,T04378,pshi,Plesiomonas shigelloides,GCA_900087055.1
310,T07750,psgc,Pseudocitrobacter sp. G163CM,GCA_021172065.1
311,T02431,ebf,Enterobacteriaceae bacterium FGI 57,GCA_000330845.1
312,T05417,ebc,Enterobacteriaceae bacterium ENNIH2,GCA_002903045.1
313,T05725,ebu,Enterobacteriaceae bacterium S05,GCA_003063705.1
314,T03051,psts,Plautia stali symbiont,GCA_000180175.2
315,T07640,eep,Enterobacteriaceae endosymbiont of Plateumaris pusilla,GCA_012562765.1
316,T07660,eem,Enterobacteriaceae endosymbiont of Macroplea mutica,GCA_012571345.1
317,T00063,ype,Yersinia pestis CO92 (biovar Orientalis),GCA_000009065.1
318,T00092,ypk,Yersinia pestis KIM10+ (biovar Mediaevalis),GCA_000006645.1
319,T01874,yph,Yersinia pestis Harbin 35 (biovar Medievalis),GCA_000186725.1
320,T00369,ypa,Yersinia pestis Antiqua (biovar Antiqua),GCA_000013825.1
321,T00370,ypn,Yersinia pestis Nepal516 (biovar Antiqua),GCA_000013805.1
322,T00165,ypm,Yersinia pestis 91001 (biovar Microtus),GCA_000007885.1
323,T00505,ypp,Yersinia pestis Pestoides F (biovar Antiqua),GCA_000016445.1
324,T00635,ypg,Yersinia pestis Angola,GCA_000018805.1
325,T01210,ypz,Yersinia pestis Z176003,GCA_000022845.1
326,T01831,ypt,Yersinia pestis A1122,GCA_000222975.1
327,T01832,ypd,Yersinia pestis D106004,GCA_000022805.1
328,T01833,ypx,Yersinia pestis D182038,GCA_000022825.1
329,T03716,ypw,Yersinia pestis PBM19,GCA_000834235.1
330,T03717,ypj,Yersinia pestis Harbin35,GCA_000834275.1
331,T03718,ypv,Yersinia pestis Shasta,GCA_000834335.1
332,T03719,ypl,Yersinia pestis El Dorado,GCA_000834495.1
333,T00195,yps,Yersinia pseudotuberculosis IP 32953 (serotype I),GCA_000047365.1
334,T03832,ypo,Yersinia pseudotuberculosis IP 32953 (serotype 1),GCA_000834295.1
335,T00570,ypi,Yersinia pseudotuberculosis IP 31758 (serotype O:1b),GCA_000016945.1
336,T00665,ypy,Yersinia pseudotuberculosis YPIII (serotype O:3),GCA_000019465.1
337,T00744,ypb,Yersinia pseudotuberculosis PB1/+ (serotype 1B),GCA_000020085.1
338,T03307,ypq,Yersinia pseudotuberculosis ATCC 6904,GCA_000750315.1
339,T03677,ypu,Yersinia pseudotuberculosis MD67,GCA_000834355.1
340,T03678,ypr,Yersinia pseudotuberculosis EP2/+,GCA_000834415.1
341,T03679,ypc,Yersinia pseudotuberculosis 1,GCA_000834435.1
342,T03846,ypf,Yersinia pseudotuberculosis PA3606,GCA_000834945.1
343,T00469,yen,Yersinia enterocolitica subsp. enterocolitica 8081 (serotype 0:8),GCA_000009345.1
344,T01480,yep,Yersinia enterocolitica subsp. palearctica 105.5R(r) (serotype:O:9),GCA_000192105.1
345,T02010,yey,Yersinia enterocolitica subsp. palearctica Y11 (serotype:0:3),GCA_000253175.1
346,T03179,yel,Yersinia enterocolitica LC20,GCA_000597945.2
347,T03643,yew,Yersinia enterocolitica WA,GCA_000834195.1
348,T03644,yet,Yersinia enterocolitica 2516-87,GCA_000834735.1
349,T03890,yef,Yersinia enterocolitica FORC_002,GCA_000987925.1
350,T03739,yee,Yersinia enterocolitica (type O:5) YE53/03,GCA_000968115.1
351,T03057,ysi,Yersinia similis,GCA_000582515.1
352,T03605,yal,Yersinia aldovae,GCA_000834395.1
353,T03606,yfr,Yersinia frederiksenii,GCA_000834215.1
354,T03608,yin,Yersinia intermedia,GCA_000834515.1
355,T03609,ykr,Yersinia kristensenii,GCA_000834865.1
356,T03610,yro,Yersinia rohdei,GCA_000834455.1
357,T03611,yru,Yersinia ruckeri YRB,GCA_000834255.1
358,T03887,yrb,Yersinia ruckeri Big Creek 74 (serotype O2),GCA_000964565.1
359,T03994,yak,Yersinia aleksiciae,GCA_001047675.1
360,T05402,yma,Yersinia massiliensis,GCA_003048255.1
